Downloaded from wid.world on 03-10-2025 at 20:12:37
Year;"sptinc_p90p100_z_AU
Australia
Pre-tax national income 
Top 10% | share
";"sptinc_p0p50_z_AU
Australia
Pre-tax national income 
Bottom 50% | share | adults | equal split
";"sptinc_p99p100_z_AU
Australia
Pre-tax national income 
Top 1% | share
";"agdpro_pall_992_i_AU
Australia
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2024)
"
1910;0.4907;0.1446;0.1635;13996.125
1911;0.4575;0.1449;0.161;13598.1769
1912;0.4243;0.1452;0.1586;12785.8381
1913;0.39;0.154;0.1456;13600.2021
1914;0.3666;0.1599;0.1367;13702.3773
1915;0.3451;0.1653;0.1298;12080.1588
1916;0.2993;0.1765;0.1114;14051.6247
1917;0.3062;0.175;0.1149;13746.8349
1918;0.3106;0.1738;0.1165;13021.8199
1919;0.4208;0.1461;0.1583;11729.8506
1920;0.34;0.1664;0.1262;12324.1449
1921;0.3883;0.1544;0.1438;14668.871
1922;0.3566;0.1623;0.132;14435.6858
1923;0.3924;0.1534;0.1452;15370.8375
1924;0.3905;0.1539;0.1458;15355.6968
1925;0.3781;0.1569;0.1406;16240.5564
1926;0.3702;0.1589;0.1374;15230.7142
1927;0.3893;0.1541;0.1436;15157.3255
1928;0.396;0.1523;0.1476;14787.1513
1929;0.356;0.1623;0.1315;14337.4645
1930;0.3255;0.1701;0.1198;14114.1642
1931;0.3125;0.1735;0.1151;11976.6817
1932;0.3103;0.174;0.1142;11648.0719
1933;0.3445;0.1654;0.1274;12071.0455
1934;0.3458;0.1653;0.1279;12848.6187
1935;0.3518;0.1633;0.1298;13312.0477
1936;0.3764;0.1572;0.139;14056.3019
1937;0.328;0.1695;0.1208;14870.7623
1938;0.3463;0.1652;0.1275;15593.5592
1939;0.3578;0.1619;0.1318;14568.4317
1940;0.3438;0.1655;0.1266;14734.0626
1941;0.3588;0.1618;0.1313;14877.5611
1942;0.3532;0.1632;0.1268;16059.592
1943;0.3541;0.1629;0.1267;17926.2788
1944;0.3224;0.171;0.1091;17775.6439
1945;0.2967;0.1773;0.1015;16708.0358
1946;0.326;0.1699;0.1141;16591.1057
1947;0.3423;0.1658;0.1273;16140.2135
1948;0.3391;0.1668;0.1289;17588.6522
1949;0.3411;0.1665;0.1356;18403.1608
1950;0.3344;0.1672;0.1689;19587.892
1951;0.2737;0.1799;0.1075;21165.7011
1952;0.2697;0.1803;0.1061;19128.6098
1953;0.2663;0.1815;0.1005;20510.4585
1954;0.2631;0.1825;0.0954;21975.8701
1955;0.2599;0.1833;0.0896;22603.5317
1956;0.2625;0.1826;0.094;22647.8928
1957;0.2412;0.1851;0.0822;23668.7289
1958;0.304;0.1754;0.0891;23545.1446
1959;0.2866;0.1799;0.0832;24455.9941
